title
"CPU Hours: Total: by PI"
parameters

start,end
2014-04-30,2015-04-30
---------
PI,"CPU Hours: Total"
"Xue, Ming - U Oklahoma",21423954.5965
"Miller, Mark Alan - UC San Diego",20141118.7441
"Wu, Chengping - U Virginia",16233734.3109
"Beckham, Gregg T - NREL",14584689.3860
"Bartschat, Klaus - Drake U",14359314.7063
"Voth, Gregory A - U Chicago",13694993.6706
"Schulten, Klaus J. - UIUC",13059958.4636
"Narayan, Ramesh - Harvard U",12477439.5189
"Liu, Keh-Fei - U Kentucky",11990157.2131
"Cui, Yifeng - UC San Diego",11873109.6072
"Sugar, Robert L. - UC Santa Barbara",11651071.8809
"Tajkhorshid, Emad - UIUC",11358138.6005
"McKinney, Jonathan C. - U Maryland",11095047.8510
"Howes, Gregory G - U Iowa",11054182.5471
"Ott, Christian David - Caltech",10669591.5836
"Debenedetti, Pablo G - Princeton U",10373150.2401
"Moreno, Juana - Louisiana State U",10229109.9684
"Roux, Benoit - U Chicago",10204561.2488
"Im, Wonpil - U Kansas",8785798.0795
"Gumbart, James - Georgia Tech",8736161.8549
"Shapiro, Paul R - UT Austin",8676609.9172
"Paesani, Francesco - UC San Diego",8592955.6933
"Dhakal, Subas - Syracuse U",7876800.8014
"Lousto, Carlos - RIT",7713724.1384
"Yeung, Pui-kuen - Georgia Tech",7688800.7791
"Garcia, Angel E - RPI",7431961.2013
"Matyushov, Dmitry V - Arizona State U",7145548.1681
"Aksimentiev, Aleksei - UIUC",7043078.4889
"Klein, Michael - Temple U",6851946.4403
"Al-Saidi, Wissam Abdo - U Pittsburgh",6803441.5072
"McGovern, Amy - U Oklahoma",6629606.6435
"Teukolsky, Saul A. - Cornell U",6576999.7638
"Cheatham, Thomas E. - U Utah",6557330.5335
"Hernandez, Rigoberto - Georgia Tech",6416964.3785
"Simon, Jake - Southwest Res Inst",6352659.8130
"Feig, Michael - Michigan State U",6150787.5109
"Van de Walle, Chris G. - UC Santa Barbara",6111665.8561
"Zhang, Fuqing - Penn State U",6082695.8187
"Cessi, Paola - SIO",6029342.5239
"Harman, Todd - U Utah",5849028.5377
"Chang, Ping - Texas A&M",5637170.0203
"Bodony, Daniel Joseph - UIUC",5566840.8677
"Pretorius, Frans - Princeton U",5557510.1071
"Doubleday, Charles - Columbia U",5249241.6005
"Case, David A - Rutgers U",5186322.3219
