title
"Job Size: Per Job (Core Count): by PI"
parameters

start,end
2014-04-30,2015-04-30
---------
PI,"Job Size: Per Job (Core Count)","Std Err of Job Size: Per Job (Core Count)"
"Di Matteo, Tiziana - CMU",24576,0
"Beane, Silas - U New Hampshire",17280,0
"Harman, Todd - U Utah",14887,547.8039242189259
"Cosden, Ian A - Princeton U",7304,1414.8815745412026
"Chandran, Benjamin - U New Hampshire",6320,690.4756554464162
"Williams, Samuel W - LBNL",6221,1306.1842811929978
"Reed, Patrick M - Cornell U",5272,1524.6874297166617
"Kubis, Tillmann - Purdue U",4705,1007.5903176820157
"Hansen, Charles D. - U Utah",4226,136.02008077140724
"Kunz, Matthew W - Princeton U",4096,0
"Moschetti, Morgan Paul - USGS",4051,38.000815914311445
"Ricker, Paul M. - UIUC",3755,133.2892931390825
"Bellovary, Jillian M - Vanderbilt U",3670,206.42646335621095
"Ballance, Connor - Auburn U",3642,1416.8891401455157
"Wang, Bei - Princeton U",3529,287.7506370435121
"Oldham, Edward - U Mary Washington",3416,620.7522318391883
"Elcock, Adrian H - U Iowa",3414,557.3949992473412
"Soltesz, Ivan - UC Irvine",3145,61.932939963072876
"Peng, Zhangli - MIT",2821,111.8870453455504
"Madison, Don - Missouri S&T",2569,153.31155342276887
"Liu, Keh-Fei - U Kentucky",2506,68.02953519819005
"Blaisdell, Gregory A. - Purdue U",2457,71.9600760349678
"Windus, Theresa L. - Iowa State U",2400,0
"Zingale, Michael - SUNY Stony Brook",2186,131.19525698756544
"Reynolds, Christopher Stephen - U Maryland",2174,168.93947239648625
"Jiang, Yanfei - Smithsonian Astrophys Obs",2167,207.69966826912403
"Kareem, Ahsan - U Notre Dame",2063,136.43502777768762
"Marinacci, Federico - MIT",1943,264.43960645718687
"Srinivasan, Sundar - U Washington",1899,102.67023353010936
"Lan, Zhiling - IIT",1842,256.7075271800705
"Shay, Michael Anthony - U Delaware",1823,549.6502130191527
"Stadler, Georg - NYU",1798,90.83490384736496
"Chow, Edmond - Georgia Tech",1666,148.33290279405054
"Simon, Jake - Southwest Res Inst",1511,127.00640504070388
"Fierro, Alexandre O - U Oklahoma",1505,161.19669788711428
"Sironi, Lorenzo - Harvard U",1428,239.24676951067315
"Loth, Francis - U Akron",1414,132.17146162003033
"Pogorelov, Nikolai - U Alabama, Huntsville",1397,115.88752374606567
"Chen, Ru - SIO",1371,122.46264626891065
"Balsara, Dinshaw S - U Notre Dame",1366,77.08068547826787
"Howes, Gregory G - U Iowa",1330,88.08759288043684
"Johnson, Calvin William - San Diego State U",1320,198.72479984675468
"Gasper, Paul M - SUNY Albany",1280,16
"Towns, John W. - UIUC",1268,155.93953754219012
"Mueller, Frank - NC State U",1260,118.52236368585709
"Panchenko, Anna - NIH",1258,208.89239879039553
"Jin, Guangxu  - Wake Forest Sch of Med",1214,146.5273274297843
"Maier, Robert S - Montana State U",1211,265.28422369641663
"Cecka, Cris - Harvard U",1203,142.59951589938896
"Klimeck, Gerhard - Purdue U",1200,0
"Gao, Huajian - Brown U",1184,147.42075611779416
"Donzis, Diego A. - Texas A&M",1177,90.81877283778651
"Loverde, Sharon - CUNY",1171,57.83265352947551
"Collins, Lance - Cornell U",1121,54.40570509077911
"Narayan, Ramesh - Harvard U",1109,72.04746725876763
"Zhuang, Houlong - ORNL",1029,241.34868459462456
"Huo, Pengfei - Caltech",1024,0
"Lewis, Nathan Enoch - UC San Diego",1024,0
"Holden, Zachary - U Montana",1005,6.323743238905414
"Beg, Farhat - UC San Diego",1004,111.80211197562501
"Fang, Fang - NCAR",1002,192.38721042078498
"Hartinger, Michael - U Michigan",996,0
"Suter, Robert M. - CMU",992,16.160187707604845
"Cui, Yifeng - UC San Diego",991,49.46371576656676
"Koziol, Quincey A - HDF Group",987,102.97930238409454
"Detmold, William - MIT",984,2.7010570203346225
"Ranganathan, Srivathsan V - SUNY Albany",981,42.67142900086031
"Hill, Chris - MIT",972,247.20428633758246
"Huarte-Espinosa, Martin - U Rochester",971,78.56549673331067
"Goodman, Jeremy - Princeton U",959,147.95686660307456
"Raeder, Joachim - U New Hampshire",951,83.87197023422844
"Gomez, Facundo A - Michigan State U",945,23.140425998007554
"Trac, Hy - CMU",939,49.26722297296497
"Tarboton, David Gavin - Utah State U",936,48.582307925630005
"Wang, Daniel Q. - U Mass, Amherst",931,48.741898915965464
"Mendes, Celso Luiz - UIUC",899,55.85868596816036
"Yeung, Pui-kuen - Georgia Tech",883,32.612676426497394
"Toth, David - Centre College",880,294.06937956883576
"Saravanan, Ramalingam - Texas A&M",873,24.431116771255006
"Facelli, Julio C - U Utah",866,107.6128873288925
"Bylander, Daniel Martin - Texas State U",859,156.4106240956429
"Xia, Qian - U Wisconsin-Madison",858,48.796996869031396
"Orf, Leigh G. - Central Michigan U",857,237.91314730524678
"Blondin, John M. - NC State U",856,39.21455942173217
"Subramaniam, Shankar - Iowa State U",852,141.98903535629427
"Liang, Bo - Harvard Med Sch",850,183.1246767379336
"Pekurovsky, Dmitry - UC San Diego",850,66.88094602190951
"Childers, Greg - CSU-Fullerton",849,437.9448732431971
"Agrawal, Rajendra K - SUNY Albany",846,107.4584553022644
"Anderson, Stuart Bruce - Caltech",829,41.71121240944688
"McKinney, Jonathan C. - U Maryland",800,49.79304630810923
"Yao, Xiaohui - IUPUI",800,0
"Niu, Fenglin - Rice U",784,35.95219289981965
"Sotomayor, Marcos - Ohio State U",781,19.553777696962364
"Spitkovsky, Anatoly - Princeton U",778,55.00150886978145
"Berzins, Martin - U Utah",776,29.68785267068831
"Ngoko Djiokap, Jean Marcel - U Nebraska, Lincoln",775,20.50863414733014
"LI, Minghai - Clark U",768,0
"Marchand, Roger - U Washington",768,0
"Phares, Alain Joseph - Villanova U",761,64.88914278542568
"Mac Low, Mordecai-Mark - AMNH",760,23.814506443444298
"Pande, Santosh - Georgia Tech",756,55.44713057492694
"Balick, Bruce -- - U Washington",747,97.56745055340112
"Mahesh, Krishnan - U Minn",741,23.425258361096752
"Akis, Richard - Arizona State U",736,0
"Mura, Cameron - U Virginia",734,83.80902906489031
"Hinohara, Nobuo - U Tsukuba",725,44.198327881267176
"Ihme, Matthias - Stanford U",721,54.091149026227825
"Chang, Ping - Texas A&M",706,35.590710413303306
"Falkingham, Peter Lewis - Brown U",706,46.875550941948795
"Appelhans, David - CU Boulder",703,28.51020407937236
"Motamarri, Phani - U Michigan",700,61.23724356957945
"Cerutti, Benoit - Princeton U",694,98.89095332372075
"Soe, Min - Rogers State U",694,70.14363798663425
"Chen, Min - Rice U",687,46.41976254910987
"Greenbaum, Anne - U Washington",686,56.36924402416198
"Shapiro, Paul R - UT Austin",686,41.634372402355545
"Mazloff, Matthew R. - SIO",680,35.78379649165795
"Mofrad, Mohammad R. K. - UC Berkeley",673,31.102432089781125
"Parry, Owen - U Maryland",669,30.810744068877675
"Velikokhatnyi, Oleg I - U Pittsburgh",667,67.67463354507682
"De Zorzi, Rita - Harvard Med Sch",652,94.14281715861802
"Condron, Alan - U Mass, Amherst",651,38.27746223859652
"Toomre, Juri - CU Boulder",645,86.30363505187655
"Skjellum, Anthony  - Auburn U",643,72.59602460788271
"Sundar, Hari  - U Utah",642,53.582176958563785
"Hart, David Lawrence - NCAR",640,386.53100619484593
"Djohari, Hadrian - CWRU",639,91.30711162818385
"Lu, Hui - U Illinois, Chicago",634,99.10847382203671
"Helly, John J - UC San Diego",627,52.72864855994848
"Crawford, Thomas Daniel - Virginia Tech",622,107.63346015553292
"Chong, Lillian T - U Pittsburgh",621,67.16031082530603
"Sinha, Manodeep - Vanderbilt U",620,35.68529826903415
"Tomko, Karen - Ohio State U",615,47.72677045480644
"Dawes, Richard - Missouri S&T",614,107.01091457293643
"Lower, Steven K - Ohio State U",613,172.70775315543887
"Frebel, Anna - MIT",612,37.098519717535225
"Keaveny, Tony M. - UC Berkeley",612,36.19042733367964
"Klein, Michael - Temple U",612,2.922713000909114
"Jaberi, Farhad A - Michigan State U",608,24.231225660772218
"Peet, Yulia  - Arizona State U",608,28.105930201649613
"Moldwin, Mark B - U Michigan",606,170.4235105939745
"Einstein, Theodore L - U Maryland",592,6.789430883878709
"Heinz, Sebastian - U Wisconsin-Madison",592,91.73875952943771
"He, Ping - NC State U",589,67.50073725573466
"Roy, Kuldeep Kumar - U Mississippi",580,68.7184270936277
"Patricola, Christina M - Texas A&M",576,20.138444597857493
"Palsson, Bernhard - UC San Diego",574,90.36873326018507
"Olson, Lorraine G. - Rose-Hulman Tech",569,39.21766276723511
"Boldyrev, Stanislav - U Wisconsin-Madison",568,52.341328963673924
"Etienne, Zachariah B - West Virginia U",567,92.29270136657766
"Subramanian, Aneesh - SIO",565,121.15745323708427
"Tokman, Mayya - UC Merced",560,232.2756982553276
"Warren, Allen A - U Montana",559,3.087291146735177
"Yokota, Rio - Tokyo Tech",559,53.34155613391985
"Huwe, Peter - U Pennsylvania",555,80.46844328284514
"Wei, Zhigang - U Notre Dame",551,56.00096968148409
"Tsang, Leung - U Michigan",541,19.70940752910399
"Meakin, Casey Adam - LANL",540,83.73698969877279
"Hasenfratz, Anna - CU Boulder",537,3.5847631500979316
"Roskies, Ralph - PSC",537,55.47938462169291
"Han, Yong - Iowa State U",532,18.87267404475584
"Wu, Chengping - U Virginia",531,24.035381655785443
"Kim, Hyojin - Harvard Med Sch",529,16.247556190015164
"Shi, Yunfeng - RPI",528,81.9134676750933
"Van Roekel, Luke - CU Boulder",525,42.50150917080561
"Guillochon, James Francis - Harvard U",517,139.00337996378778
"McCarthy, John M - UC Irvine",516,142.56350164049698
"Perozo, Eduardo - U Chicago",516,34.531855537198005
"Smolin, Nikolai - Loyola U Chicago",516,0
"McGovern, Amy - U Oklahoma",513,22.875944506184663
"Asadi, Ebrahim - Missouri S&T",512,0
"Tan, Dongyan - Harvard Med Sch",512,0
"Zou, Jian  - WPI",512,0
"Loeffler, Frank - Louisiana State U",507,60.363005256563966
"Amaro, Rommie E - UC San Diego",500,31.958001464480542
"Lyon, John G. - Dartmouth College",494,33.488700266805175
"Ott, Christian David - Caltech",494,22.186659932079955
"Sadow, Aaron David - Iowa State U",493,85.67844851978687
"Sinha, Neelima - UC Davis",492,165.4750736515926
"Zhang, Chengzhu - SIO",488,18.966281057646142
"Bai, Xuening - Smithsonian Astrophys Obs",486,55.47287978730238
"Li, Jessie - Stanford U",486,101.27870665846505
"Feig, Michael - Michigan State U",485,9.218343364475261
"Frank, Adam - U Rochester",476,24.6580533559847
"Guan, Zhen - UC Irvine",476,53.05173369775306
"Lazarian, Alex - U Wisconsin-Madison",474,141.46158144318036
"Singh, Parampreet  - Louisiana State U",471,50.70902565653608
"Ramm, Alexander G. - Kansas State U",468,25.888908941679816
"Uzun, Ali - Florida State U",465,23.87923105926951
"Eshraghi Kakhki, Mohsen - CSU-Los Angeles",464,162.55460620972877
"Abraham, John - Purdue U",463,34.0268657767122
"Ruan, Youyi - Brown U",457,21.01221531565934
"Michalakes, John George - NOAA",456,124.02188883874271
"Blanquart, Guillaume - Caltech",455,40.48902311656166
"Zhu, Cheng - Georgia Tech",454,19.26774637055
"Wang, Shaowen - UIUC",449,24.86393328673897
"Fisher, Robert T - U Mass, Dartmouth",448,28.424593253630523
"Griesel, Alexa - SIO",447,71.78050241428292
"Bullock, James S - UC Irvine",446,35.24597736184939
"McClean, Julie L - SIO",444,16.880168208313638
"Pritchett, Philip L. - UCLA",443,28.00694770115674
"S V N, Vishwanathan - UC Santa Cruz",443,37.09921832060617
"Helenbrook, Brian - Clarkson U",440,79.79350146579839
"Francoeur, Mathieu - U Utah",438,62.57627415794519
"Kellogg, Louise H - UC Davis",438,20.79509777216015
"Perez, Jean Carlos - U New Hampshire",438,33.15994980535398
"El-Alaoui, Mostafa - UCLA",431,15.078589226172145
"Guo, X Edward - Columbia U",430,10.465333143855123
"Shende, Sameer Suresh - U Oregon",429,63.83593508991329
"Riley, Pete - Predictive Science",425,24.854496761467974
"Schulten, Klaus J. - UIUC",422,22.339529962960146
"Bishop, Thomas C - Louisiana Tech",421,44.96021038622583
"Aksimentiev, Aleksei - UIUC",418,20.249934243463933
"Mitas, Lubos - NC State U",414,20.891595524065288
"Keyes, David Eliot - KAUST",411,81.87011359464454
"Mashayek, Farzad - U Illinois, Chicago",406,5.909460889116706
"Sterling, Thomas - Indiana U",403,24.266150578037447
"Bagchi, Saurabh - Purdue U",402,33.14600321470764
"Wise, John H - Georgia Tech",398,23.31720125533534
"Aller, Stephen G - U Alabama, Birmingham",397,18.814415937404526
"Chen, Alan Austin - SUNY Albany",397,38.53860975655859
"Tchekhovskoy, Alexander - UC Berkeley",397,38.335778976591044
"Filip, Grzegorz Piotr - U Michigan",394,45.028802366193716
"Sandholm, Tuomas - CMU",387,53.505412649277154
"Qiao, Bin - UC San Diego",386,24.432032775105746
"Billington, Sarah L - Stanford U",385,42.387580349875485
"Bishop, Anthony C - RPI",384,0
"Goldberg, Sharon - Boston U",383,22.68147712667661
"Romps, David - UC Berkeley",379,26.36495983296299
"Fields, Aaron J - UC San Francisco",378,157.85516771050482
"Lyman, Edward - U Delaware",378,27.88635390533735
"Ferrante, Antonino - U Washington",377,31.64767113727972
"Cohen, Marvin L. - UC Berkeley",375,8.699809611189472
"Giacomazzo, Bruno - U Trento",375,14.801883463411793
"Malaspina, David Cesar - Northwestern U",368,52.99175054540535
"Burton, Zachary F - Michigan State U",365,7.476431594984943
"Hagen, Scott Charles - U Central Florida",363,26.22521617059493
"French, Kinsley Claire - RPI",358,25.329548078193245
"Hopkins, Philip F - Caltech",357,21.806467788339393
"Dickens, Phillip Mathew - U Maine",356,40.4588868063886
"Scharfenberg, Buddy - Missouri S&T",356,41.77581730555821
"Gibou, Frederic - UC Santa Barbara",354,24.635966687128683
"Zhang, Shiwei  - College of Wm & Mary",349,46.40674280509005
"Jakowski, Jacek - U Tennessee",348,15.900274398329122
"Cessi, Paola - SIO",344,25.219665308055262
"Asle Zaeem, Mohsen - Missouri S&T",343,8.668421455810758
"LeBard, David - Yeshiva U",341,3.4400775911634986
"Cicotti, Pietro - SDSC",340,22.13827215255222
"Hawley, John F. - U Virginia",340,22.77490898953325
"Hong, Han  - Stanford U",337,61.8454461681952
"Carrington, Laura - UC San Diego",336,19.959825551315603
"Hand, Brian K - U Montana",336,217.37130839714268
"Norman, Michael L. - UC San Diego",335,20.205091429137067
"Bradford, Kent Jay - UC Davis",329,69.08724926525085
"Abernathey, Ryan - Columbia U",328,33.296923098147715
"Guvench, Olgun - U New England",327,20.2390093069016
"Zhou, Z. Hong - UCLA",327,18.270521103022762
"Blood, Philip - CMU",326,87.3581983263693
"Gao, Wei  - Northwestern U",324,67.42059746584101
"Cormier, Guy - U Georgia",322,36.97855617993329
"Zalucha, Angela - SETI Inst",322,6.728516216183614
"Wilcox, Jennifer - Stanford U",320,26.11606654690777
"Johnson, Harley T. - UIUC",316,28.797757114432113
"Pellman, David Steven - Dana-Farber Cancer Inst",313,25.767495544955395
"Volkov, Alexey N. - U Alabama",308,30.786157645029768
"Henderson, Shane G - Cornell U",307,25.087540997955585
"Kushnir, Doron - Institute for Advanced Study",306,11.682556797779037
"Farhi, Moran  - UC Davis",304,30.42284568829768
"Kogut, John B. - U Maryland",304,11.550482886533304
"Mastorakos, Ioannis  - Clarkson U",304,69.2820323027551
"Fuentes-Cabrera, Miguel Angel - U Tennessee",303,14.119339035312656
"Larini, Luca - Rutgers U",302,53.936498593987686
"Zheng, Lianyuan - U South Florida",301,15.648585310713257
"Gumbart, James - Georgia Tech",298,9.141442887517886
"Reutt-Robey, Janice Ellen - U Maryland",298,4.067495350341046
"Smith, Aaron Robin - UT Austin",298,42.52850321858398
"Smith, Paul E - Kansas State U",298,104.93792450777744
"Leschziner, Andres E - Harvard U",296,9.451507329992081
"Apte, Sourabh V - Oregon State U",295,18.337920219086072
"Humphrey, Jay Dowell - Yale U",294,51.41938809334458
"Indiviglio, Frank M - NOAA",294,24.441594356295067
"Zou, Jian - IUPUI",294,29.92099117690354
"Braden, Michael Robert - U Montana",293,13.061517644576394
"Lyra, Wladimir - Caltech",293,14.836853138728396
"Pirkelbauer, Peter  - U Alabama, Birmingham",293,18.19090174154954
"Bykhovskaia, Maria - Central U Caribbean",290,16.39762704917357
"Johnson, Steven G - MIT",290,36.444058123031695
"Yilmaz, Ali - UT Austin",289,12.23488377695105
"Del Vento, Davide - NCAR",288,111.04353500617076
"Shim, Joong-Youn - NC Central U",288,0
"Tucker, Garritt J'Von - Drexel U",287,40.12480867402448
"Bucher, Denis - UC San Diego",286,112.18036066166576
"O'Leary, Ryan - UC Berkeley",284,12.628930151816913
"Kaznessis, Yiannis N. - U Minn",282,6.174090192388307
"Pueschel, Moritz J - U Wisconsin-Madison",282,17.396268254775343
"Douma, Michael - IDEA",281,24.706652707317517
"Zhu, Ping - U Wisconsin-Madison",280,34.25010764430939
"Mendez Polanco, Miguel Angel - MIT",279,5.157365370383045
"Jin, Meng - UCAR",278,21.005211988147877
"Luthey-Schulten, Zaida - UIUC",277,19.024112438134278
"Marinshaw, Ruth - Stanford U",274,23.693324486992427
"Cuma, Martin - U Utah",273,17.176537880111958
"Eigenmann, Rudolf - Purdue U",273,20.58271786497947
"Kibalchenko, Mikhail - UCLA",273,27.839633942177414
"Holley-Bockelmann, Kelly - Vanderbilt U",272,25.518307153884646
"Robia, Seth Louis - Loyola U Chicago",272,86.57759525419957
"Jagota, Anand - Lehigh U",270,18.420216100127636
"Jordan, Thomas H. - USC",270,8.630292984688424
