title
"Number of Jobs Ended"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] Number of Jobs Ended"
2015-03-01,5314
2015-03-02,6988
2015-03-03,8423
2015-03-04,6455
2015-03-05,6298
2015-03-06,7577
2015-03-07,7323
2015-03-08,3127
2015-03-09,6446
2015-03-10,6999
2015-03-11,7655
2015-03-12,6770
2015-03-13,5938
2015-03-14,4189
2015-03-15,4562
2015-03-16,4665
2015-03-17,5582
2015-03-18,6529
2015-03-19,6458
2015-03-20,6349
2015-03-21,4871
2015-03-22,4946
2015-03-23,5661
2015-03-24,5443
2015-03-25,7737
2015-03-26,5511
2015-03-27,5078
2015-03-28,5547
2015-03-29,4590
2015-03-30,6093
2015-03-31,4173
---------
title
"Number of Jobs via Gateway"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] Number of Jobs via Gateway"
2015-03-01,404
2015-03-02,659
2015-03-03,795
2015-03-04,847
2015-03-05,785
2015-03-06,802
2015-03-07,521
2015-03-08,130
2015-03-09,667
2015-03-10,597
2015-03-11,749
2015-03-12,782
2015-03-13,697
2015-03-14,393
2015-03-15,460
2015-03-16,597
2015-03-17,682
2015-03-18,779
2015-03-19,739
2015-03-20,559
2015-03-21,551
2015-03-22,400
2015-03-23,705
2015-03-24,680
2015-03-25,1076
2015-03-26,706
2015-03-27,736
2015-03-28,505
2015-03-29,498
2015-03-30,950
2015-03-31,816
---------
title
"Number of Jobs Running"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] Number of Jobs Running"
2015-03-01,6540
2015-03-02,7888
2015-03-03,9957
2015-03-04,7971
2015-03-05,7911
2015-03-06,8992
2015-03-07,8404
2015-03-08,4314
2015-03-09,7790
2015-03-10,8270
2015-03-11,9310
2015-03-12,8137
2015-03-13,7048
2015-03-14,5170
2015-03-15,5666
2015-03-16,5888
2015-03-17,7081
2015-03-18,7912
2015-03-19,7835
2015-03-20,7777
2015-03-21,6072
2015-03-22,5688
2015-03-23,6934
2015-03-24,6752
2015-03-25,8988
2015-03-26,6496
2015-03-27,6277
2015-03-28,6527
2015-03-29,5593
2015-03-30,6984
2015-03-31,5384
---------
title
"Number of Jobs Started"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] Number of Jobs Started"
2015-03-01,5241
2015-03-02,6662
2015-03-03,9057
2015-03-04,6437
2015-03-05,6395
2015-03-06,7379
2015-03-07,6989
2015-03-08,3232
2015-03-09,6603
2015-03-10,6925
2015-03-11,8039
2015-03-12,6482
2015-03-13,5681
2015-03-14,4059
2015-03-15,4684
2015-03-16,4784
2015-03-17,5858
2015-03-18,6413
2015-03-19,6446
2015-03-20,6395
2015-03-21,4637
2015-03-22,4482
2015-03-23,6186
2015-03-24,5473
2015-03-25,7670
2015-03-26,5190
2015-03-27,5287
2015-03-28,5322
2015-03-29,4609
2015-03-30,5971
2015-03-31,4485
---------
title
"Number of Jobs Submitted"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] Number of Jobs Submitted"
2015-03-01,3820
2015-03-02,5752
2015-03-03,7322
2015-03-04,4743
2015-03-05,5074
2015-03-06,5819
2015-03-07,5399
2015-03-08,2112
2015-03-09,5567
2015-03-10,5806
2015-03-11,6067
2015-03-12,5297
2015-03-13,3696
2015-03-14,3102
2015-03-15,3333
2015-03-16,3638
2015-03-17,4557
2015-03-18,5180
2015-03-19,5041
2015-03-20,4715
2015-03-21,3562
2015-03-22,3410
2015-03-23,5077
2015-03-24,4395
2015-03-25,6050
2015-03-26,3410
2015-03-27,3898
2015-03-28,4059
2015-03-29,3352
2015-03-30,5401
2015-03-31,3625
---------
title
"Number of Users: Active"
parameters

start,end
