title
"CPU Hours: Total: by PI"
parameters

start,end
2015-01-01,2015-05-01
---------
PI,"CPU Hours: Total"
"McKinney, Jonathan C. - U Maryland",7483660.2803
"Narayan, Ramesh - Harvard U",7099221.6704
"Wu, Chengping - U Virginia",7057524.2972
"Xue, Ming - U Oklahoma",6890835.0623
"Liu, Keh-Fei - U Kentucky",6603239.0486
"Harman, Todd - U Utah",5848964.8223
"Miller, Mark Alan - UC San Diego",5724745.2598
"Voth, Gregory A - U Chicago",4004994.1111
"Tajkhorshid, Emad - UIUC",3998747.4990
"Schulten, Klaus J. - UIUC",3825339.1784
"Stadler, Georg - NYU",3725382.3726
"Garcia, Angel E - RPI",3656959.1231
"Beckham, Gregg T - NREL",3240221.0491
"Chang, Ping - Texas A&M",3233807.3240
"Shapiro, Paul R - UT Austin",3087195.8365
"Beg, Farhat - UC San Diego",2987503.0981
"Im, Wonpil - U Kansas",2738239.9904
"Ott, Christian David - Caltech",2665196.7029
"Cui, Yifeng - UC San Diego",2509948.1732
"Latour Jr., Robert A. - Clemson U",2360311.4038
"Cohen, Marvin L. - UC Berkeley",2332638.5966
"Wang, Xuguang - U Oklahoma",2265387.3831
"Pretorius, Frans - Princeton U",2218376.2265
"Gumbart, James - Georgia Tech",2209797.1196
"Shea, Joan-Emma - UC Santa Barbara",2145112.3870
"Case, David A - Rutgers U",2070860.9819
"Feigenson, Gerald W - Cornell U",2007653.7822
"Jakowski, Jacek - U Tennessee",1976665.8176
"Lousto, Carlos - RIT",1945632.3735
"Madison, Don - Missouri S&T",1928449.3779
"Yilmaz, Ali - UT Austin",1919044.8443
"Abraham, John - Purdue U",1885293.2489
"Morningstar, Colin - CMU",1865204.4307
"Hasenfratz, Anna - CU Boulder",1864135.9076
"Paesani, Francesco - UC San Diego",1827778.4799
"Laguna, Pablo - Georgia Tech",1793825.7690
"Bodony, Daniel Joseph - UIUC",1786689.9781
"Reynolds, Christopher Stephen - U Maryland",1743130.2445
"Van de Walle, Chris G. - UC Santa Barbara",1608390.7145
"Roux, Benoit - U Chicago",1588191.3191
"Glotzer, Sharon C - U Michigan",1582780.6178
"Bryan, Greg L. - Columbia U",1564250.7676
"Debenedetti, Pablo G - Princeton U",1455714.8399
"Bartschat, Klaus - Drake U",1455145.7323
"Leszczynski, Jerzy - Jackson State U",1453177.1963
"Sotomayor, Marcos - Ohio State U",1437772.4049
"Al-Saidi, Wissam Abdo - U Pittsburgh",1426344.5254
"Goodman, Jeremy - Princeton U",1416724.6000
"Pamidighantam, Sudhakar V. - UIUC",1414902.1247
"Hernandez, Rigoberto - Georgia Tech",1366104.6091
"Berzins, Martin - U Utah",1337446.1687
"Chelikowsky, James R - UT Austin",1301061.3068
"Pillepich, Annalisa  - Harvard U",1276623.1952
"Kogut, John B. - U Maryland",1258457.1200
"Jiang, Yanfei - Smithsonian Astrophys Obs",1255382.8977
"Sur, Sharanya - Arizona State U",1238769.9115
"Matyushov, Dmitry V - Arizona State U",1206541.1382
"Feig, Michael - Michigan State U",1202690.8931
"Aspuru-Guzik, Alan - Harvard U",1191609.2687
"Chen, Min - Rice U",1177744.1558
"Weinstein, Harel - Weill Cornell Med College",1170019.4127
"Ivanov, Ivaylo - Georgia State U",1145049.6937
"Patricola, Christina M - Texas A&M",1138122.7158
"Ganapathysubramanian, Baskar - Iowa State U",1067189.3026
"Morgan, Dane - U Wisconsin-Madison",1054629.0179
"Pettitt, Bernard Montgomery - UT Med Branch",1054154.2153
"Teukolsky, Saul A. - Cornell U",1052794.3068
"Zhang, Fuqing - Penn State U",1031824.1921
"Pogorelov, Nikolai - U Alabama, Huntsville",1025703.5733
"Le, Duy - U Central Florida",1009613.5333
"Voelz, Vincent Alvin - Temple U",1000727.8803
"Madura, Jeffry D. - Duquesne U",991640.7114
"Cohen, Ronald E. - CIW",982062.2633
"Lambrecht, Daniel S - U Pittsburgh",971933.6038
"Kushnir, Doron - Institute for Advanced Study",961653.4841
"Blanquart, Guillaume - Caltech",949533.0804
"Zhu, Zhaohuan - Princeton U",917654.4521
"Severin, Andrew J - Iowa State U",915814.6352
"Aller, Stephen G - U Alabama, Birmingham",898913.7158
"Heyden, Andreas - U South Carolina",898712.3638
"Aksimentiev, Aleksei - UIUC",887293.3509
"Cui, Qiang - U Wisconsin-Madison",882182.1279
"Raeder, Joachim - U New Hampshire",879804.2485
"Landau, David P - U Georgia",878270.3288
