title
"Job Size: Max (Core Count): by PI"
parameters

start,end
2014-05-15,2015-05-14
---------
PI,"Job Size: Max (Core Count)"
"Wang, Bei - Princeton U",65536
"Williams, Samuel W - LBNL",65536
"Kubis, Tillmann - Purdue U",64000
"Donzis, Diego A. - Texas A&M",32768
"Schulten, Klaus J. - UIUC",32768
"Shapiro, Paul R - UT Austin",27648
"Berzins, Martin - U Utah",16384
"Chow, Edmond - Georgia Tech",16384
"Collins, Lance - Cornell U",16384
"Cosden, Ian A - Princeton U",16384
"Cui, Yifeng - UC San Diego",16384
"Dawson, Clinton N - UT Austin",16384
"Hansen, Charles D. - U Utah",16384
"Harman, Todd - U Utah",16384
"He, Ping - NC State U",16384
"Kaiser, Hartmut - Louisiana State U",16384
"Kellogg, Louise H - UC Davis",16384
"Lan, Zhiling - IIT",16384
"Liu, Keh-Fei - U Kentucky",16384
"Loeffler, Frank - Louisiana State U",16384
"Loverde, Sharon - CUNY",16384
"Mendes, Celso Luiz - UIUC",16384
"Ott, Christian David - Caltech",16384
"Panchenko, Anna - NIH",16384
"Pande, Santosh - Georgia Tech",16384
"Reed, Patrick M - Cornell U",16384
"Romps, David - UC Berkeley",16384
"Roskies, Ralph - PSC",16384
"Shay, Michael Anthony - U Delaware",16384
"Shende, Sameer Suresh - U Oregon",16384
"Singh, Parampreet  - Louisiana State U",16384
"Srinivasan, Ashok - Florida State U",16384
"Stadler, Georg - NYU",16384
"Sugar, Robert L. - UC Santa Barbara",16384
"Teukolsky, Saul A. - Cornell U",16384
"Tomko, Karen - Ohio State U",16384
"Wang, Shaowen - UIUC",16384
"Yeung, Pui-kuen - Georgia Tech",16384
"Yilmaz, Ali - UT Austin",16384
"Pogorelov, Nikolai - U Alabama, Huntsville",16000
"Ricker, Paul M. - UIUC",15360
"Howes, Gregory G - U Iowa",15232
"Cessi, Paola - SIO",15120
"Chandran, Benjamin - U New Hampshire",13824
"Reynolds, Christopher Stephen - U Maryland",13824
"Simon, Jake - Southwest Res Inst",13824
"Soe, Min - Rogers State U",13824
"McGovern, Amy - U Oklahoma",12800
"Dorland, William D - U Maryland",12288
"Fierro, Alexandre O - U Oklahoma",11664
"Chong, Lillian T - U Pittsburgh",10256
"Indiviglio, Frank M - NOAA",10240
"Jakowski, Jacek - U Tennessee",10240
"Moreno, Juana - Louisiana State U",9600
"Smith, Cameron Walter - RPI",8752
"Amaro, Rommie E - UC San Diego",8192
"Balsara, Dinshaw S - U Notre Dame",8192
"Cohen, Marvin L. - UC Berkeley",8192
"Colonius, Timothy - Caltech",8192
"Espinosa, Horacio Dante - Northwestern U",8192
"Gao, Wei  - Northwestern U",8192
"Gygi, Francois - UC Davis",8192
"Hempel, Chris - UT Austin",8192
"Jack, Mark A - Florida A&M U",8192
"Leszczynski, Jerzy - Jackson State U",8192
"Lyon, John G. - Dartmouth College",8192
"Rai, Neeraj - Mississippi State U",8192
"Sironi, Lorenzo - Harvard U",8192
"Zingale, Michael - SUNY Stony Brook",8192
"Gumbart, James - Georgia Tech",8160
"Moschetti, Morgan Paul - USGS",8000
"Wilkins-Diehr, Nancy - UC San Diego",8000
"Khaldi, Dounia - U Houston",7280
"Srinivasan, Sundar - U Washington",6400
"Wu, Chengping - U Virginia",6400
"Ferrante, Antonino - U Washington",6144
"Peng, Zhangli - MIT",6144
"Zhang, Yuyang - ORNL",5728
"Jha, Shantenu - Rutgers U",5008
"Scheraga, Harold A. - Cornell U",4608
"Akhavan, Rayhaneh - U Michigan",4096
"Aksimentiev, Aleksei - UIUC",4096
"Anderson, Stuart Bruce - Caltech",4096
"Appelhans, David - CU Boulder",4096
"Apte, Sourabh V - Oregon State U",4096
"Arolla, Sunil - Cornell U",4096
"Bartschat, Klaus - Drake U",4096
"Beckham, Gregg T - NREL",4096
"Beg, Farhat - UC San Diego",4096
"Bellovary, Jillian M - Vanderbilt U",4096
"Blondin, John M. - NC State U",4096
"Bodony, Daniel Joseph - UIUC",4096
"Boldyrev, Stanislav - U Wisconsin-Madison",4096
"Bourdin, Blaise - Louisiana State U",4096
"Burkman, John Bradford - LSMSA",4096
"Carrington, Laura - UC San Diego",4096
"Cecka, Cris - Harvard U",4096
"Ceperley, David M - UIUC",4096
"Cerutti, Benoit - Princeton U",4096
"Chang, Ping - Texas A&M",4096
"Chelikowsky, James R - UT Austin",4096
"Chen, Feng - TACC",4096
"Chiu, Wah - Baylor College of Med",4096
"Chowdhury, Rezaul Alam - SUNY Stony Brook",4096
"Demmel, James Weldon - UC Berkeley",4096
"Diaz, Javier - Rutgers U",4096
"Dickens, Phillip Mathew - U Maine",4096
"Djohari, Hadrian - CWRU",4096
"Elcock, Adrian H - U Iowa",4096
"Fan, Shanhui - Stanford U",4096
"Faucher-Giguere, Claude-Andre - Northwestern U",4096
"Fisher, Robert T - U Mass, Dartmouth",4096
"Ganapathysubramanian, Baskar - Iowa State U",4096
"Garcia, Angel E - RPI",4096
"Gibou, Frederic - UC Santa Barbara",4096
"Glotzer, Sharon C - U Michigan",4096
"Goodman, Jeremy - Princeton U",4096
"Greif, Thomas - Harvard U",4096
"Guan, Zhen - UC Irvine",4096
"Hacker, Thomas - Purdue U",4096
"Hagen, Scott Charles - U Central Florida",4096
"Haiman, Zoltan - Columbia U",4096
"Hallman, Eric - CU Boulder",4096
"Han, Yong - Iowa State U",4096
"Hawkins, Andrew Nathan - US EPA",4096
"Hawley, John F. - U Virginia",4096
"Helenbrook, Brian - Clarkson U",4096
"Hennig, Richard G. - U Florida",4096
"Hill, Chris - MIT",4096
"Holden, Zachary - U Montana",4096
"Hopkins, Philip F - Caltech",4096
"Huarte-Espinosa, Martin - U Rochester",4096
"Ihme, Matthias - Stanford U",4096
"Jagota, Anand - Lehigh U",4096
"Jayaraman, Balaji - Penn State U",4096
"Jewett, Brian F - UIUC",4096
"Jiang, Yanfei - Smithsonian Astrophys Obs",4096
"Johnsen, Eric - U Michigan",4096
"Johnson, Calvin William - San Diego State U",4096
"Johnson, Steven G - MIT",4096
"Jordan, Thomas H. - USC",4096
"Kareem, Ahsan - U Notre Dame",4096
"Keaveny, Tony M. - UC Berkeley",4096
"Keres, Dusan - UC San Diego",4096
"Keyes, David Eliot - KAUST",4096
"Koenig, Peter - Procter & Gamble",4096
"Kunz, Matthew W - Princeton U",4096
"Lecoanet, Daniel - UC Berkeley",4096
"Li, Jianing - U Vermont",4096
"Liu, Lijun - UIUC",4096
"Mac Low, Mordecai-Mark - AMNH",4096
"Mahesh, Krishnan - U Minn",4096
