title
"Job Size: Min (Core Count): by PI"
parameters

start,end
2015-04-01,2015-04-30
---------
PI,"Job Size: Min (Core Count)"
"Harman, Todd - U Utah",16384
"McKinney, Jonathan C. - U Maryland",4096
"Fang, Fang - NCAR",3600
"Jaberi, Farhad A - Michigan State U",2400
"Srinivasan, Sundar - U Washington",1920
"Uzun, Ali - Florida State U",1536
"Zeng, Yong - U Missouri, Kansas City",1536
"Gomez, Facundo A - Michigan State U",1024
"Simon, Jake - Southwest Res Inst",1024
"Ngoko Djiokap, Jean Marcel - U Nebraska, Lincoln",912
"Yao, Xiaohui - IUPUI",800
"Akis, Richard - Arizona State U",736
"Han, Yong - Iowa State U",608
"Subramanian, Aneesh - SIO",560
"Abernathey, Ryan - Columbia U",512
"Asadi, Ebrahim - Missouri S&T",512
"Fan, Shanhui - Stanford U",512
"Zou, Jian  - WPI",512
"Sotomayor, Marcos - Ohio State U",480
"Zhu, Cheng - Georgia Tech",480
"Gao, Huajian - Brown U",400
"Motamarri, Phani - U Michigan",400
"Zgid, Dominika Kamila - U Michigan",400
"Bykhovskaia, Maria - Central U Caribbean",384
"Liebling, Steven - Long Island U",384
"Raeder, Joachim - U New Hampshire",368
"Jagota, Anand - Lehigh U",320
"LeBard, David - Yeshiva U",320
"Madura, Jeffry D. - Duquesne U",320
"Kogut, John B. - U Maryland",288
"Blanquart, Guillaume - Caltech",256
"Boylan-Kolchin, Michael  - U Maryland",256
"Dempski, Robert E - WPI",256
"Feig, Michael - Michigan State U",256
"Hall, David Matthew - CU Boulder",256
"Heinz, Sebastian - U Wisconsin-Madison",256
"Helenbrook, Brian - Clarkson U",256
"Kane, Michael John - Yale U",256
"Kaznessis, Yiannis N. - U Minn",256
"Liu, Philip L-F. - Cornell U",256
"Mondal, Sayan - Weill Cornell Med College",256
"Narayan, Ramesh - Harvard U",256
"Patricola, Christina M - Texas A&M",256
"Pritchard, Michael - UC Irvine",256
"Pritchett, Philip L. - UCLA",256
"Ramaprabhu, Praveen Kumar - UNC Charlotte",256
"Reynolds, Christopher Stephen - U Maryland",256
"Shen, Chengcai - Smithsonian Astrophys Obs",256
"Smith, Britton D - U Edinburgh",256
"Thornton, Katsuyo - U Michigan",256
"Misra, Vasubandhu - Florida State U",240
"Zheng, Lianyuan - U South Florida",240
"Fragile, Patrick C - College of Charleston",192
"Kim, Ji-hoon - Caltech",192
"Mahesh, Krishnan - U Minn",192
"Mason, Christopher Edward - Weill Cornell Med College",192
"Park, Kyungwha - Virginia Tech",192
"li, yaping  - U Tulsa",192
"Doubleday, Charles - Columbia U",176
"Sweeney, Alison M - U Pennsylvania",176
"Burton, Zachary F - Michigan State U",160
"Banavali, Nilesh K - Wadsworth Ctr",144
"Spitkovsky, Anatoly - Princeton U",144
"Adrian, Ronald John - Arizona State U",128
"Berlind, Andreas - Vanderbilt U",128
"Boudker, Olga - Weill Cornell Med College",128
"Condron, Alan - U Mass, Amherst",128
"Cooper, Catherine Marguerite - Washington State U",128
"Dhakal, Subas - Syracuse U",128
"Fisher, Robert T - U Mass, Dartmouth",128
"Kashi, Amit - U Minn",128
"Levine, Zachary - UC Santa Barbara",128
"Llinas, Miguel - CMU",128
"Loverde, Sharon - CUNY",128
"MacLeod, Morgan Elowe - UC Santa Cruz",128
"Marrocchelli, Dario - MIT",128
"Medvedeva, Julia E. - Missouri S&T",128
"Mehdizadeh, Amirfarhang - Penn State U",128
"Mueller, Timothy Keith - Johns Hopkins U",128
"Niemann, Christoph - UCLA",128
"Soltesz, Ivan - UC Irvine",128
"Wang, Yang - CMU",128
"Zarif-Khalili-Yazdani, Alireza - Brown U",128
"Chrispell, John Christopher - Indiana U of Penn",96
"Naylor, Jason - Purdue U",96
"Reid, Keon Andre - Emory U",96
"Stillman, Jonathon H - San Francisco State U",96
"Volkov, Alexey N. - U Alabama",96
"Wiens, Douglas A - Washington U",96
"Farley, Robert Alan - USC",80
"Fleming, Karen - Johns Hopkins U",80
"Huang, Kerwyn Casey - Stanford U",80
"Mendez Polanco, Miguel Angel - MIT",80
"Richardson, Chris - Elon U",80
"Watkins, Stephan Lloyd - Oregon State U",80
"Wei, Tao - Lamar U",80
"Barraza-Lopez, Salvador - U Arkansas",64
"Broyde, Suse - NYU",64
"Campbell, Robert Lee - Penn State Behrend",64
"Chew, Huck Beng - UIUC",64
"Connor, Edward F - San Francisco State U",64
"Dayal, Kaushik - CMU",64
"Deike, Luc J.R - SIO",64
"Dutt, Meenakshi - Rutgers U",64
"Emerick, Andrew James - Columbia U",64
"Firouzi, Mahnaz  - Stanford U",64
"Garcia, Adrian  - UC Irvine",64
"Gaughan, Christopher - NSF",64
"Harrigan, Timothy P. - Johns Hopkins U",64
"Hickman, Albert Peet - Lehigh U",64
"Johnsen, Eric - U Michigan",64
"Johnson, Erin R - UC Merced",64
"Kennefick, Daniel John - U Arkansas",64
"Keten, Sinan - Northwestern U",64
"Kim, Kyung-Suk - Brown U",64
"Klie, Robert F - U Illinois, Chicago",64
"Langer, Robert Samuel - MIT",64
"Le, Duy - U Central Florida",64
"Lesage, Anne-Cecile - Texas Tech U",64
"Lo, Cynthia S - Washington U",64
"Offner, Stella S - U Mass, Amherst",64
"Ozel, Feryal - U Arizona",64
"Parris, Paul Ernest - Missouri S&T",64
"Peet, Yulia  - Arizona State U",64
"Pope, Stephen B. - Cornell U",64
"Poulos, Thomas - UC Irvine",64
"Romero, Aldo Humberto - West Virginia U",64
"Samuel, Tabitha - U Tennessee",64
"Sant, Gaurav N - UCLA",64
"Shen, Tongye - U Tennessee",64
"Sinno, Talid - U Pennsylvania",64
"Sironi, Lorenzo - Harvard U",64
"Tsyshevsky, Roman - U Maryland",64
"Valocchi, Albert J. - UIUC",64
"Wang, Chen Santillan - UC Riverside",64
"Welty, Claire - U Maryland, Baltimore Co",64
"Wilson, Robert E - SUNY Stony Brook",64
"Zhang, Yuyang - ORNL",64
"Aksimentiev, Aleksei - UIUC",48
"Bourdin, Blaise - Louisiana State U",48
"Brown, Laura E - Michigan Tech",48
"Choudhury, Pabitra - New Mexico Tech",48
"Dos Santos, Elton Jose - Stanford U",48
"Gao, Wei  - Northwestern U",48
"Jayaraman, Arthi - U Delaware",48
"Logan, Cheryl A - CSU-Monterey Bay",48
"Martinez, Luis A - UPR Mayaguez",48
"Mazloff, Matthew R. - SIO",48
"McCourt, Michael - Harvard U",48
"Pogorelov, Taras - UIUC",48
"Trinkle, Dallas R. - UIUC",48
"Wilcox, Jennifer - Stanford U",48
"Yildiz, Bilge - MIT",48
"Hasenfratz, Anna - CU Boulder",40
"Abrams, Binyomin - Boston U",32
"Alexander-Katz, Alfredo - MIT",32
"Arunachalam, Sarav - UNC",32
"Broadbelt, Linda - Northwestern U",32
"Cessi, Paola - SIO",32
"Chen, Long-Qing - Penn State U",32
"Cheng, Yu-Ting - Johns Hopkins U",32
"Chiu, Wah - Baylor College of Med",32
"Ciliberto, Federico - U Virginia",32
"Clemens, Kristina A - UC Berkeley",32
"Cronin, Stephen B. - USC",32
"Dalcanton, Julianne - U Washington",32
"Dutta, Indranath  - Washington State U",32
"Friedman, Peter A - U Pittsburgh Sch of Med",32
"Gennis, Robert B - UIUC",32
"Hansen, Charles D. - U Utah",32
"Holley-Bockelmann, Kelly - Vanderbilt U",32
"Jack, Mark A - Florida A&M U",32
"Keating, Brian - UC San Diego",32
"Keres, Dusan - UC San Diego",32
"Kim, Byoung-Do - Harvard Med Sch",32
"Kindt, James - Emory U",32
"Klinge, Sebastian N - Rockefeller U",32
"Koizumi, Hideya - Arkansas State U",32
"Kummel, Andrew - UC San Diego",32
"Laguna, Pablo - Georgia Tech",32
"Lim, Marisa C - SUNY Stony Brook",32
"Lueptow, Richard M. - Northwestern U",32
"Mac Low, Mordecai-Mark - AMNH",32
"Marean, Curtis - Arizona State U",32
"Masud, Arif - UIUC",32
"Matysiak, Silvina - U Maryland",32
"McQuinn, Matthew Judd - U Washington",32
"Mertz, Blake - West Virginia U",32
"Nan, Xiaolin - Oregon Health & Sci U",32
"Onuchic, Jose - Rice U",32
"Ozturk, Birol  - Morgan State U",32
"Paddison, Stephen J - U Tennessee",32
"Pegden, Wesley - CMU",32
"Phares, Alain Joseph - Villanova U",32
"Reed, Patrick M - Cornell U",32
"Sheikhi, Reza H - Northeastern U",32
"Sitti, Metin - CMU",32
"Song, Kevin - U Chicago",32
"Staton, Margaret Elizabeth - U Tennessee",32
"Subramaniam, Shankar - Iowa State U",32
"Thomas, Wendy E. - U Washington",32
"Timko, Michael Paul - U Virginia",32
"Urbanc, Brigita - Drexel U",32
"Vladimirova, Natalia - U New Mexico",32
"Wang, Xianqiao - U Georgia",32
"Weinstein, Harel - Weill Cornell Med College",32
"Weng, Jing-Ke - Whitehead Inst for Biomed Res",32
"Werner, Gregory - CU Boulder",32
"West, Ana  - Mercer U",32
"Westmoreland, Phillip R - NC State U",32
"Wolter, Nicole - UC San Diego",32
"Yakobson, Boris I - Rice U",32
"zheng, xiaoning  - MIT",32
"Berger, Robert - W Washington U",20
"Carretero, Ricardo  - San Diego State U",20
"Gallicchio, Emilio - CUNY Brooklyn College",20
"Greene, Christopher H. - Purdue U",20
"Hsu, Tian-Jian - U Delaware",20
"Jankowski, Eric - NREL",20
"Jayaraman, Balaji - Penn State U",20
"Kulik, Heather Janine - MIT",20
"Kulkarni, Milind - Purdue U",20
"Kumar, Abhishek  - ORNL",20
"Levine, Benjamin G - Michigan State U",20
"Liu, Honggao - Louisiana State U",20
"Loftis, Bruce - CU Boulder",20
"McGill, Brian James - U Maine",20
"Palen, Brock - U Michigan",20
"Pujari, Sumiran  - U Kentucky",20
"Rivera, Wilson  - UPR Mayaguez",20
"Singh, Parampreet  - Louisiana State U",20
"Waag, Robert C - U Rochester",20
"Wang, Lee-Ping - Stanford U",20
"Woolf, Thomas B - Johns Hopkins U",20
"Yakushin, Igor - Penn State U",20
"sansoz, frederic - U Vermont",20
"Abraham, John - Purdue U",16
"Abrams, Cameron - Drexel U",16
"Abu-Sufah, Walid A - UIUC",16
"Acharya, Amit - CMU",16
"Acuna, Edgar  - UPR Mayaguez",16
"Agrawal, Gagan - Ohio State U",16
"Ahmed, Shaikh S - SIU Carbondale",16
"Aidun, Cyrus K - Georgia Tech",16
"Akhavan, Rayhaneh - U Michigan",16
"Al-Qadi, Imad L. - UIUC",16
"Al-Saidi, Wissam Abdo - U Pittsburgh",16
"Alexandrova, Anastassia - UCLA",16
"Allen, Scott Edward - UNC",16
"Allison, Jason Robert - TACC",16
"Almeida, Sergio Fabian - UT El Paso",16
"Altintas, Ilkay - SDSC",16
"Aluru, Narayana R - UIUC",16
"Amaro, Rommie E - UC San Diego",16
"Anderson, Steven Edward - Texas A&M",16
"Anderson, Stuart Bruce - Caltech",16
"Andriamanalimanana, Bruno  - SUNYIT",16
"Andricioaei, Ioan - UC Irvine",16
"Apte, Sourabh V - Oregon State U",16
"Aristilde, Ludmilla  - Cornell U",16
"Armentrout, Peter B - U Utah",16
"Armstrong, Anne Frances - UC Davis",16
"Arolla, Sunil - Cornell U",16
"Arora, Ritu - UT Austin",16
"Aspuru-Guzik, Alan - Harvard U",16
"Awasthi, Amnaya - U Florida",16
"Babaee, Hessam - MIT",16
"Baden, Scott B. - UC San Diego",16
"Bagchi, Prosenjit - Rutgers U",16
"Bandaru, Varaprasad  - UC Davis",16
"Bao, Shaowu - Coastal Carolina U",16
"Baptista, Antonio  - Oregon Health & Sci U",16
"Bar Lev, Yevgeny - Columbia U",16
"Barbone, Paul - Boston U",16
"Bartschat, Klaus - Drake U",16
"Baruah, Tunna - UT El Paso",16
"Bassman, Lori - Harvey Mudd College",16
"Baumgart, Tobias  - U Pennsylvania",16
"Beckham, Gregg T - NREL",16
"Beckstein, Oliver - Arizona State U",16
"Beran, Gregory - UC Riverside",16
"Bergantz, George Walter - U Washington",16
"Bergman, Robert G - UC Berkeley",16
"Bernard, Peter S. - U Maryland",16
"Berne, Bruce J. - Columbia U",16
"Berzins, Martin - U Utah",16
"Bhaganagar, Kiran - UT San Antonio",16
