title
"Job Size: Per Job (Core Count): by PI"
parameters

start,end
2014-05-15,2015-05-14
---------
PI,"Job Size: Per Job (Core Count)","Std Err of Job Size: Per Job (Core Count)"
"Harman, Todd - U Utah",14967,520.0411224765468
"Moschetti, Morgan Paul - USGS",8000,0
"Cosden, Ian A - Princeton U",7304,1414.8815745412026
"Chandran, Benjamin - U New Hampshire",6320,690.4756554464162
"Williams, Samuel W - LBNL",6221,1306.1842811929978
"Kubis, Tillmann - Purdue U",4705,1007.5903176820157
"Hansen, Charles D. - U Utah",4226,136.02008077140724
"Kunz, Matthew W - Princeton U",4096,0
"Reed, Patrick M - Cornell U",3941,600.1393912433654
"Ricker, Paul M. - UIUC",3878,138.49369593177644
"Wang, Bei - Princeton U",3862,334.7174215990831
"Bellovary, Jillian M - Vanderbilt U",3791,175.03971069069905
"Oldham, Edward - U Mary Washington",3416,620.7522318391883
"Elcock, Adrian H - U Iowa",3414,557.3949992473412
"Soltesz, Ivan - UC Irvine",3326,58.437468072632264
"Peng, Zhangli - MIT",3182,114.36859156529832
"Ballance, Connor - Auburn U",3023,466.6078740156748
"Liu, Keh-Fei - U Kentucky",2680,75.12578192449826
"Madison, Don - Missouri S&T",2644,150.0307639577672
"Blaisdell, Gregory A. - Purdue U",2359,151.12080493836024
"Chen, Ru - SIO",2318,82.06459318837118
"Zingale, Michael - SUNY Stony Brook",2186,131.19525698756544
"Reynolds, Christopher Stephen - U Maryland",2174,163.96932717883624
"Lan, Zhiling - IIT",2101,317.5351277389366
"Kareem, Ahsan - U Notre Dame",2063,136.43502777768762
"Shi, Yunfeng - RPI",2048,0
"Marinacci, Federico - MIT",1985,262.57585764808044
"Srinivasan, Sundar - U Washington",1899,102.67023353010936
"Shay, Michael Anthony - U Delaware",1823,549.6502130191527
"Stadler, Georg - NYU",1718,90.45932869776291
"Jiang, Yanfei - Smithsonian Astrophys Obs",1660,190.46135315289624
"Fierro, Alexandre O - U Oklahoma",1529,166.88884254838146
"Simon, Jake - Southwest Res Inst",1520,128.74836591709877
"Pogorelov, Nikolai - U Alabama, Huntsville",1514,135.5153402236869
"Loth, Francis - U Akron",1414,132.17146162003033
"Balsara, Dinshaw S - U Notre Dame",1397,78.87555313829166
"Sironi, Lorenzo - Harvard U",1380,230.1642128152852
