PI,CPU Hours: Total,Job Size: Per Job (Core Count)
"Morgan, Dane ",3201872,47
"Boldyrev, Stanislav ",3028756,568
"Cui, Qiang ",2815000,27
"Xia, Qian ",2642461,858
"Yethiraj, Arun ",2035921,28
"Pueschel, Moritz J ",1351208,282
"Voyles, Paul M ",699044,90
"Lazarian, Alex ",494873,474
"Schmidt, Jordan R ",300689,53
"Zhu, Ping ",118841,280
"Heinz, Sebastian ",62269,592
"Fu, Chao ",54682,112
"Van Vleet, Mary Johanna ",23367,16
"Terry, Paul W ",3621,104
"Miller, Ian James ",768,16
"Mikulyuk, Alison F ",56,22
"Halzen, Francis  ",53,16
