title
"Number of Jobs Ended: by User Institution"
parameters

start,end
2015-03-01,2015-03-31
---------
"User Institution","Number of Jobs Ended","Number of Jobs via Gateway","Number of Jobs Running","Number of Jobs Started","Number of Jobs Submitted","Number of Users: Active","Number of PIs: Active","Number of Allocations: Active","Number of Institutions: Active","XD SUs Charged: Total","NUs Charged: Total","CPU Hours: Total","Node Hours: Total","Wait Hours: Total","Wall Hours: Total","XD SUs Charged: Per Job","Std Err of XD SUs Charged: Per Job","NUs Charged: Per Job","Std Err of NUs Charged: Per Job","CPU Hours: Per Job","Std Err of CPU Hours: Per Job","Node Hours: Per Job","Std Err of Node Hours: Per Job","Wait Hours: Per Job","Std Err of Wait Hours: Per Job","Wall Hours: Per Job","Std Err of Wall Hours: Per Job","Job Size: Per Job (Core Count)","Std Err of Job Size: Per Job (Core Count)","Job Size: Min (Core Count)","Job Size: Max (Core Count)","XSEDE Utilization (%)","User Expansion Factor","Job Size: Normalized (% of Total Cores)","Job Size: Weighted By XD SUs (Core Count)","Number of Resources: Active","Allocation Usage Rate (XD SU/Hour)"
"UC San Diego - University of California, San Diego",24253,13064,30782,24405,22737,64,36,38,1,19220875,414709599.000,4489386.5801,305563.2342,67681.0632,149001.9634,792.5154,48.269328542641745,17099.3113842,1041.4590326360383,185.10644374,10.586689808754583,12.59898710,0.6549439994163114,2.77324578,0.0700830599282968,6.14365082,0.05176115992128082,40,1.2482744783958608,1,8192,4.838096469%,1.8176,0.02608,961.1857,5,25869.2799
"U Oklahoma - University of Oklahoma",7240,0,7555,7250,5469,25,8,8,1,11708348,252619316.448,2866683.1799,156723.3099,67349.9137,8048.7925,1617.1751,136.99336340623753,34892.1707801,2955.7688088529812,395.95071546,30.01604106247354,21.64686601,1.8612712744931665,9.28964327,0.37208915398843323,1.11171167,0.03020302920487324,229,5.196043014843541,8,4096,3.288231470%,10.1246,0.16198,1808.9071,4,15758.2073
"UIUC - University of Illinois at Urbana-Champaign",6903,1357,9232,6867,4794,88,39,40,1,27381020,590772887.520,6249108.3846,424493.1682,88384.7827,59367.1041,3966.5392,133.08958708411666,85582.0494741,2871.540930926901,905.27428431,29.298475482903417,61.49401249,2.14086198467899,12.87094549,0.3612339300795479,8.60018892,0.09621117719395494,252,12.294435004139505,1,14400,6.520644754%,4.1577,0.16004,1354.6332,6,36851.9785
"Georgia Tech - Georgia Institute of Technology",5476,0,6678,5468,4968,33,15,15,1,9110752,196573585.152,2129186.1331,173144.6990,15072.5394,27927.4943,1663.7604,96.67700091888486,35897.2945858,2085.90297182586,388.82142679,20.548096789608522,31.61882743,1.7358861341772298,2.75649952,0.11319904098021093,5.09998070,0.08696829364803711,132,10.176488630745903,1,16384,2.221703567%,2.2004,0.08383,1085.8186,6,12262.1157
"Rutgers U - Rutgers, the State University of New Jersey",5383,0,6466,5387,4243,31,11,13,1,3358539,72463837.464,885187.6354,56469.1817,33475.0787,23276.0916,623.9158,28.138186030211767,13461.6082972,607.1095017878491,164.44132183,6.692186086967808,10.49028083,0.6512367790892929,6.21404839,0.23210518523230472,4.32399993,0.08353386429771217,49,1.2618099064261357,8,1024,1.026327452%,3.8157,0.03722,157.5690,4,4520.2409
"SUNY Stony Brook - SUNY at Stony Brook",4787,0,5102,4776,4510,21,7,7,1,739796,15961838.496,169135.3914,31772.9649,5215.9896,6050.2502,154.5427,15.198078186787054,3334.4137238,327.91373495811746,35.33223133,3.6107260807099837,6.63734383,1.6509193435211462,1.09212513,0.054531439285290216,1.26389183,0.029605302304664585,24,1.317561702624904,16,4096,0.209181844%,2.0747,0.01979,239.0544,3,995.6878
"U South Florida - University of South Florida",4008,0,4086,4025,3925,20,3,3,1,1034455,22319401.080,226950.0734,14477.1354,3450.7625,1596.0130,258.0976,39.802174255457956,5568.7128443,858.7717117357608,56.62426981,8.654126603802094,3.61205973,0.5457985276031455,0.85733230,0.08786866741263019,0.39820684,0.03472224747637407,68,1.893738101719601,1,2048,0.295082939%,2.9263,0.05819,383.8650,3,1392.2678
"CMU - Carnegie Mellon University",3991,0,4172,3980,3244,71,11,12,1,1108408,23915011.008,285625.7482,88749.8020,30905.5671,4407.7625,277.7269,18.48489084288844,5992.2352814,398.830004826161,71.56746384,5.036036827736826,22.23748484,3.3760362571219162,7.76521786,0.2947405063581665,1.10442558,0.06274108466745183,42,0.8427145381704795,1,512,0.331167692%,8.9929,0.03190,197.9285,4,1491.8008
"Stanford - Stanford University",3937,0,4264,3932,3567,20,14,14,1,5975445,128926201.320,1409109.5468,79576.1500,13774.2851,9342.1880,1517.7661,123.90911219770686,32747.3206299,2673.463004777723,357.91454072,26.852980143777202,20.21238252,1.6692891135312145,3.50312439,0.18795199488644726,2.37292050,0.083647220845777,124,5.209695048440944,1,4096,1.485540869%,7.6245,0.08009,1040.4916,5,8042.3217
"SDSC - San Diego Supercomputer Center",3924,0,4069,3918,3778,6,6,6,1,262378,5661067.728,57284.7494,5421.6979,2236.3070,4446.6195,66.8649,7.506848688585082,1442.6778104,161.96776730491175,14.59855999,1.6218303327608714,1.38167633,0.11032817509607235,0.57077769,0.052393944744133135,1.13318540,0.06222976302113012,31,1.121006675440602,1,4032,0.055784603%,5.3694,0.01860,54.4662,9,353.1332
