title
"XD SUs Charged: Total: by PI"
parameters

start,end
2015-03-31,2015-04-30
---------
PI,"XD SUs Charged: Total"
"Krieger, Donald Nathan - U Pittsburgh",13651679
"McKinney, Jonathan C. - U Maryland",13387316
"Stadler, Georg - NYU",13350302
"Wu, Chengping - U Virginia",8578020
"Xue, Ming - U Oklahoma",8272166
"Voth, Gregory A - U Chicago",8234631
"Harman, Todd - U Utah",7294782
"Narayan, Ramesh - Harvard U",6728167
"Miller, Mark Alan - UC San Diego",6555103
"Im, Wonpil - U Kansas",6228042
"Hasenfratz, Anna - CU Boulder",5882333
"Debenedetti, Pablo G - Princeton U",5075394
"Liu, Keh-Fei - U Kentucky",5046529
"Chang, Ping - Texas A&M",4539567
"Patricola, Christina M - Texas A&M",4530233
"Pretorius, Frans - Princeton U",4363516
"Garcia, Angel E - RPI",4303780
"Blanquart, Guillaume - Caltech",4029027
"Lousto, Carlos - RIT",3707359
"Schulten, Klaus J. - UIUC",3316130
"Berlind, Andreas - Vanderbilt U",3266132
"Lambrecht, Daniel S - U Pittsburgh",3120137
"Pogorelov, Nikolai - U Alabama, Huntsville",3030246
"Raeder, Joachim - U New Hampshire",2871537
"Paesani, Francesco - UC San Diego",2598110
"Sotomayor, Marcos - Ohio State U",2580429
"Ott, Christian David - Caltech",2571594
"Cui, Yifeng - UC San Diego",2503480
"Ivanov, Ivaylo - Georgia State U",2501435
"Chelikowsky, James R - UT Austin",2398692
"Reed, Patrick M - Cornell U",2375300
"Wuerthwein, Frank - UC San Diego",2326546
"Frank, Adam - U Rochester",2301868
"Voelz, Vincent Alvin - Temple U",2249059
"Shea, Joan-Emma - UC Santa Barbara",2108691
"Kogut, John B. - U Maryland",2016236
"Tchekhovskoy, Alexander - UC Berkeley",1985700
"Vladimirova, Natalia - U New Mexico",1978447
"Chiu, Wah - Baylor College of Med",1975911
"Wang, Xuguang - U Oklahoma",1928683
"Glotzer, Sharon C - U Michigan",1927569
"Mittal, Jeetain - Lehigh U",1805210
"Andricioaei, Ioan - UC Irvine",1759613
"Van de Walle, Chris G. - UC Santa Barbara",1671566
"Zhang, Fuqing - Penn State U",1599580
"Mac Low, Mordecai-Mark - AMNH",1582807
"Morse, David - U Minn",1559404
"Bryan, Greg L. - Columbia U",1540249
"Kolpak, Alexie - MIT",1512401
"McCammon, James Andrew - UC San Diego",1508323
"Amaro, Rommie E - UC San Diego",1487691
"Yilmaz, Ali - UT Austin",1435082
"Pueschel, Moritz J - U Wisconsin-Madison",1386487
"Landau, David P - U Georgia",1340799
"Cohen, Ronald E. - CIW",1324223
"Morgan, Dane - U Wisconsin-Madison",1321098
"Roux, Benoit - U Chicago",1289593
"Filip, Grzegorz Piotr - U Michigan",1279277
"Tajkhorshid, Emad - UIUC",1279247
"Simmons, David Samuel - U Akron",1223537
"Nikolic, Branislav - U Delaware",1207252
"Luo, Tengfei - U Notre Dame",1190059
"Ismail-Beigi, Sohrab - Yale U",1168397
"Bodony, Daniel Joseph - UIUC",1156000
"Case, David A - Rutgers U",1155604
"Martini, Ashlie - UC Merced",1154888
"Volkov, Alexey N. - U Alabama",1149198
"Keres, Dusan - UC San Diego",1139435
"Aksimentiev, Aleksei - UIUC",1139051
"Kubis, Tillmann - Purdue U",1129853
"Beckstein, Oliver - Arizona State U",1129731
"Cui, Qiang - U Wisconsin-Madison",1123473
"Zhu, Zhaohuan - Princeton U",1111655
"Mitas, Lubos - NC State U",1092905
"Yethiraj, Arun - U Wisconsin-Madison",1084516
"Feig, Michael - Michigan State U",1053777
"Tang, Pei - U Pittsburgh Sch of Med",1051069
"Kim, Ji-hoon - Caltech",1050325
"Klein, Richard I. - UC Berkeley",1046794
"Al-Saidi, Wissam Abdo - U Pittsburgh",1035317
