title
"XD SUs Charged: Total: by PI"
parameters

start,end
2014-04-30,2015-04-30
---------
PI,"XD SUs Charged: Total"
"Sugar, Robert L. - UC Santa Barbara",85796735
"Krieger, Donald Nathan - U Pittsburgh",82954646
"Xue, Ming - U Oklahoma",81902080
"Miller, Mark Alan - UC San Diego",81421531
"Hernandez, Rigoberto - Georgia Tech",80600513
"Beckham, Gregg T - NREL",65503101
"Bartschat, Klaus - Drake U",62157005
"Schulten, Klaus J. - UIUC",60051552
"Voth, Gregory A - U Chicago",57908894
"Liu, Keh-Fei - U Kentucky",55142730
"Tajkhorshid, Emad - UIUC",52235392
"Debenedetti, Pablo G - Princeton U",48644487
"Roux, Benoit - U Chicago",48176770
"Ott, Christian David - Caltech",46460720
"Cui, Yifeng - UC San Diego",45284765
"McKinney, Jonathan C. - U Maryland",40785633
"Wu, Chengping - U Virginia",40475237
"Im, Wonpil - U Kansas",40407346
"Paesani, Francesco - UC San Diego",40270118
"Narayan, Ramesh - Harvard U",39814577
"Lousto, Carlos - RIT",37307859
"Gumbart, James - Georgia Tech",34603996
"Shapiro, Paul R - UT Austin",34496113
"Garcia, Angel E - RPI",34198727
"Cheatham, Thomas E. - U Utah",32515780
"Aksimentiev, Aleksei - UIUC",32392942
"Klein, Michael - Temple U",31511783
"Matyushov, Dmitry V - Arizona State U",31120021
"Yeung, Pui-kuen - Georgia Tech",31073137
"Teukolsky, Saul A. - Cornell U",30441698
"Feig, Michael - Michigan State U",28292845
"Cessi, Paola - SIO",28047589
"Zhang, Fuqing - Penn State U",28042092
"Howes, Gregory G - U Iowa",27967452
"Harman, Todd - U Utah",26899682
"Van de Walle, Chris G. - UC Santa Barbara",26523679
"Doubleday, Charles - Columbia U",25890157
"Chang, Ping - Texas A&M",25865128
"Bodony, Daniel Joseph - UIUC",25597181
"Pretorius, Frans - Princeton U",25553682
"Chong, Lillian T - U Pittsburgh",23686653
"Stadler, Georg - NYU",23475767
"Norman, Michael L. - UC San Diego",22786507
"Shea, Joan-Emma - UC Santa Barbara",22271507
"Klein, Richard I. - UC Berkeley",22261042
"Moreno, Juana - Louisiana State U",20677129
"Case, David A - Rutgers U",20328458
"Baron, Riccardo - U Utah",19558978
"Aspuru-Guzik, Alan - Harvard U",18723983
"Yilmaz, Ali - UT Austin",18002587
"Berzins, Martin - U Utah",17989821
